investor,commit,deal_size,invite,rating,int_rate,covenants,total_fees,fee_share,prior_tier,invite_tier,tier_change,fee_percent,invite_percent
Ipanema Investments,Commit,2000,260,5,Market,1,162,27.9,Bookrunner,Bookrunner,None,0.1722222222,0.13
Damiba Investment Group,Decline,1400,140,6,Market,1,148,22.3,Bookrunner,Participant,Demoted,0.1506756757,0.1
Ipanema Investments,Commit,700,90,3,Market,1,19,4.6,Bookrunner,Bookrunner,None,0.2421052632,0.1285714286
Bank of Pepperoni Pizza,Commit,600,70,3,Market,3,91,18.4,Bookrunner,Bookrunner,None,0.2021978022,0.1166666667
Beef and Broccoli Union,Decline,1700,200,8,Market,0,214,13.7,Bookrunner,Participant,Demoted,0.06401869159,0.1176470588
Cold Cut Credit,Commit,400,50,3,Market,2,33,4.3,Bookrunner,Bookrunner,None,0.1303030303,0.125
Beef and Broccoli Union,Commit,2000,420,4,Market,1,240,2.6,Participant,Bookrunner,Promoted,0.01083333333,0.21
Beef and Broccoli Union,Decline,500,40,2,Below,1,8,1.3,Bookrunner,Participant,Demoted,0.1625,0.08
Ipanema Investments,Commit,200,50,3,Market,2,56,26.7,Bookrunner,Bookrunner,None,0.4767857143,0.25
Cold Cut Credit,Commit,1900,300,6,Market,0,62,4.7,Bookrunner,Bookrunner,None,0.07580645161,0.1578947368
Cold Cut Credit,Commit,2100,280,6,Market,1,155,35.2,Bookrunner,Bookrunner,None,0.2270967742,0.1333333333
Beef and Broccoli Union,Commit,1000,200,9,Market,0,200,20.6,Bookrunner,Bookrunner,None,0.103,0.2
Ipanema Investments,Commit,1400,250,4,Market,1,181,29,Bookrunner,Bookrunner,None,0.1602209945,0.1785714286
Beef and Broccoli Union,Decline,1100,160,7,Market,0,118,1.5,Bookrunner,Bookrunner,None,0.01271186441,0.1454545455
Cold Cut Credit,Commit,800,140,2,Market,2,73,2.8,Bookrunner,Bookrunner,None,0.03835616438,0.175
Beef and Broccoli Union,Commit,1000,140,3,Market,3,196,4.7,Bookrunner,Bookrunner,None,0.02397959184,0.14
Cold Cut Credit,Commit,1400,210,7,Market,0,50,7.9,Participant,Bookrunner,Promoted,0.158,0.15
Ipanema Investments,Decline,200,30,4,Market,1,23,2.6,Bookrunner,Bookrunner,None,0.1130434783,0.15
Bank of Pepperoni Pizza,Commit,1200,180,3,Market,2,95,23.4,Bookrunner,Bookrunner,None,0.2463157895,0.15
Damiba Investment Group,Commit,1600,280,7,Below,0,357,66.4,Bookrunner,Bookrunner,None,0.1859943978,0.175
Cold Cut Credit,Commit,1100,170,2,Market,1,31,4.3,Bookrunner,Bookrunner,None,0.1387096774,0.1545454545
Bank of Pepperoni Pizza,Commit,1200,210,7,Market,0,139,39.3,Bookrunner,Bookrunner,None,0.2827338129,0.175
Beef and Broccoli Union,Decline,1300,230,7,Market,0,117,1.9,Bookrunner,Bookrunner,None,0.01623931624,0.1769230769
Ipanema Investments,Commit,1300,90,7,Market,1,208,29.5,Bookrunner,Participant,Demoted,0.1418269231,0.06923076923
Ipanema Investments,Commit,1400,210,8,Market,0,142,3.7,Bookrunner,Bookrunner,None,0.02605633803,0.15
Beef and Broccoli Union,Decline,500,90,2,Market,2,54,3.1,Bookrunner,Bookrunner,None,0.05740740741,0.18
Ipanema Investments,Decline,1300,150,1,Market,1,50,12.6,Bookrunner,Participant,Demoted,0.252,0.1153846154
Cold Cut Credit,Commit,1200,210,7,Above,1,236,44.1,Bookrunner,Bookrunner,None,0.1868644068,0.175
Cold Cut Credit,Commit,1700,280,8,Above,1,300,75.9,Bookrunner,Bookrunner,None,0.253,0.1647058824
Cold Cut Credit,Commit,1200,200,4,Market,1,71,10.4,Participant,Bookrunner,Promoted,0.1464788732,0.1666666667
Beef and Broccoli Union,Commit,200,30,2,Market,3,31,7.9,Bookrunner,Bookrunner,None,0.2548387097,0.15
Bank of Pepperoni Pizza,Commit,1200,150,5,Market,1,97,0,Participant,Bookrunner,Promoted,0,0.125
Bank of Pepperoni Pizza,Commit,1000,130,9,Market,0,57,5.8,Bookrunner,Bookrunner,None,0.101754386,0.13
Bank of Pepperoni Pizza,Commit,900,170,5,Market,2,150,19.8,Bookrunner,Bookrunner,None,0.132,0.1888888889
Ipanema Investments,Decline,1200,110,5,Market,0,47,8.8,Bookrunner,Participant,Demoted,0.1872340426,0.09166666667
Cold Cut Credit,Commit,300,30,2,Below,2,32,5.8,Participant,Participant,None,0.18125,0.1
Cold Cut Credit,Commit,1200,140,5,Above,1,165,34.8,Bookrunner,Participant,Demoted,0.2109090909,0.1166666667
Bank of Pepperoni Pizza,Commit,1000,180,1,Market,2,124,34.5,Bookrunner,Bookrunner,None,0.2782258065,0.18
Ipanema Investments,Commit,700,130,1,Market,2,57,8.6,Participant,Bookrunner,Promoted,0.150877193,0.1857142857
Bank of Pepperoni Pizza,Commit,700,100,2,Market,2,61,17.4,Bookrunner,Bookrunner,None,0.2852459016,0.1428571429
Ipanema Investments,Decline,300,20,3,Market,2,27,3.9,Bookrunner,Participant,Demoted,0.1444444444,0.06666666667
Beef and Broccoli Union,Commit,2100,310,4,Market,1,111,26.4,Bookrunner,Bookrunner,None,0.2378378378,0.1476190476
Bank of Pepperoni Pizza,Commit,1500,240,3,Market,2,156,30.4,Participant,Bookrunner,Promoted,0.1948717949,0.16
Cold Cut Credit,Commit,700,120,3,Above,2,67,7.7,Bookrunner,Bookrunner,None,0.1149253731,0.1714285714
Bank of Pepperoni Pizza,Commit,600,70,3,Above,1,28,2.6,Participant,Participant,None,0.09285714286,0.1166666667
Cold Cut Credit,Commit,500,110,5,Market,0,3,1.1,Participant,Bookrunner,Promoted,0.3666666667,0.22
Damiba Investment Group,Commit,1100,190,10,Market,0,30,6.6,Bookrunner,Bookrunner,None,0.22,0.1727272727
Ipanema Investments,Commit,1000,190,4,Market,1,89,20.8,Bookrunner,Bookrunner,None,0.2337078652,0.19
Bank of Pepperoni Pizza,Commit,1500,190,8,Market,1,235,19.5,Bookrunner,Bookrunner,None,0.0829787234,0.1266666667
Cold Cut Credit,Commit,900,140,3,Above,3,150,27.2,Bookrunner,Bookrunner,None,0.1813333333,0.1555555556
Bank of Pepperoni Pizza,Decline,1200,110,6,Below,1,112,12.5,Bookrunner,Participant,Demoted,0.1116071429,0.09166666667
Ipanema Investments,Commit,2200,390,3,Market,2,228,55.4,Bookrunner,Bookrunner,None,0.2429824561,0.1772727273
Damiba Investment Group,Commit,700,100,3,Market,1,19,3,Bookrunner,Bookrunner,None,0.1578947368,0.1428571429
Beef and Broccoli Union,Decline,800,160,3,Market,2,81,7.3,Bookrunner,Bookrunner,None,0.09012345679,0.2
Cold Cut Credit,Commit,1600,270,6,Market,2,264,50.2,Bookrunner,Bookrunner,None,0.1901515152,0.16875
Cold Cut Credit,Decline,300,80,5,Market,1,33,1.9,Bookrunner,Bookrunner,None,0.05757575758,0.2666666667
Damiba Investment Group,Commit,1100,240,2,Market,2,110,6.5,Bookrunner,Bookrunner,None,0.05909090909,0.2181818182
Cold Cut Credit,Commit,700,160,2,Market,2,70,21.5,Participant,Bookrunner,Promoted,0.3071428571,0.2285714286
Damiba Investment Group,Decline,300,30,1,Market,2,32,6.5,Bookrunner,Participant,Demoted,0.203125,0.1
Ipanema Investments,Commit,1100,230,7,Market,0,118,35.8,Bookrunner,Bookrunner,None,0.3033898305,0.2090909091
Beef and Broccoli Union,Commit,700,130,3,Market,2,57,9,Bookrunner,Bookrunner,None,0.1578947368,0.1857142857
Damiba Investment Group,Commit,1200,220,10,Market,0,98,29.6,Bookrunner,Bookrunner,None,0.3020408163,0.1833333333
Bank of Pepperoni Pizza,Commit,1400,240,9,Market,0,152,38.9,Bookrunner,Bookrunner,None,0.2559210526,0.1714285714
Cold Cut Credit,Commit,700,130,2,Market,2,59,21.1,Bookrunner,Bookrunner,None,0.3576271186,0.1857142857
Bank of Pepperoni Pizza,Commit,1500,270,3,Market,3,254,15.5,Bookrunner,Bookrunner,None,0.06102362205,0.18
Beef and Broccoli Union,Commit,1000,130,4,Above,1,107,20.4,Bookrunner,Bookrunner,None,0.1906542056,0.13
Beef and Broccoli Union,Decline,700,110,3,Below,2,77,4.9,Bookrunner,Bookrunner,None,0.06363636364,0.1571428571
Ipanema Investments,Commit,200,30,2,Market,2,30,8.3,Participant,Bookrunner,Promoted,0.2766666667,0.15
Cold Cut Credit,Commit,700,110,2,Market,2,49,11.5,Bookrunner,Bookrunner,None,0.2346938776,0.1571428571
Damiba Investment Group,Decline,800,80,3,Below,3,126,24.7,Bookrunner,Participant,Demoted,0.196031746,0.1
Beef and Broccoli Union,Commit,700,120,3,Market,3,118,0,Participant,Bookrunner,Promoted,0,0.1714285714
Ipanema Investments,Decline,600,50,2,Market,2,67,13.8,Bookrunner,Participant,Demoted,0.2059701493,0.08333333333
Bank of Pepperoni Pizza,Commit,800,130,2,Market,3,136,34.7,Bookrunner,Bookrunner,None,0.2551470588,0.1625
Beef and Broccoli Union,Commit,800,120,3,Market,2,69,13.7,Bookrunner,Bookrunner,None,0.1985507246,0.15
Bank of Pepperoni Pizza,Commit,1300,280,8,Market,1,210,4.8,Bookrunner,Bookrunner,None,0.02285714286,0.2153846154
Damiba Investment Group,Commit,1200,170,3,Market,2,147,24.4,Bookrunner,Bookrunner,None,0.1659863946,0.1416666667
Damiba Investment Group,Decline,200,10,1,Market,2,13,0.2,Participant,Participant,None,0.01538461538,0.05
Damiba Investment Group,Commit,1300,270,2,Market,2,153,27.7,Bookrunner,Bookrunner,None,0.1810457516,0.2076923077
Beef and Broccoli Union,Commit,600,90,2,Market,2,81,18.5,Bookrunner,Bookrunner,None,0.2283950617,0.15
Bank of Pepperoni Pizza,Commit,2600,510,2,Market,2,195,21.3,Bookrunner,Bookrunner,None,0.1092307692,0.1961538462
Cold Cut Credit,Commit,800,120,2,Market,2,105,24.2,Bookrunner,Bookrunner,None,0.2304761905,0.15
Cold Cut Credit,Commit,600,90,1,Below,1,30,3.6,Participant,Bookrunner,Promoted,0.12,0.15
Bank of Pepperoni Pizza,Commit,1000,140,4,Market,1,99,14.6,Bookrunner,Bookrunner,None,0.1474747475,0.14
Cold Cut Credit,Commit,1500,250,9,Market,0,216,23.8,Bookrunner,Bookrunner,None,0.1101851852,0.1666666667
Ipanema Investments,Commit,900,90,2,Market,2,84,16,Participant,Participant,None,0.1904761905,0.1
Damiba Investment Group,Decline,1800,170,8,Market,0,92,16.1,Bookrunner,Participant,Demoted,0.175,0.09444444444
Ipanema Investments,Decline,700,50,2,Market,2,37,3.1,Bookrunner,Participant,Demoted,0.08378378378,0.07142857143
Bank of Pepperoni Pizza,Commit,1100,180,8,Above,0,276,83.4,Bookrunner,Bookrunner,None,0.302173913,0.1636363636
Cold Cut Credit,Commit,1000,120,5,Below,1,87,12.1,Bookrunner,Bookrunner,None,0.1390804598,0.12
Ipanema Investments,Decline,300,50,5,Market,1,33,1.7,Bookrunner,Bookrunner,None,0.05151515152,0.1666666667
Damiba Investment Group,Commit,1300,200,9,Market,0,191,49.7,Bookrunner,Bookrunner,None,0.2602094241,0.1538461538
Damiba Investment Group,Commit,700,90,4,Above,1,37,1.1,Bookrunner,Bookrunner,None,0.02972972973,0.1285714286
Bank of Pepperoni Pizza,Commit,1300,110,7,Market,0,181,28.6,Bookrunner,Participant,Demoted,0.1580110497,0.08461538462
Ipanema Investments,Commit,2100,330,7,Market,0,212,42.6,Participant,Bookrunner,Promoted,0.2009433962,0.1571428571
Cold Cut Credit,Commit,900,90,1,Market,2,61,11.1,Participant,Participant,None,0.1819672131,0.1
Bank of Pepperoni Pizza,Commit,400,40,3,Market,2,55,13.1,Bookrunner,Participant,Demoted,0.2381818182,0.1
Bank of Pepperoni Pizza,Commit,700,70,1,Market,1,1,0.2,Bookrunner,Participant,Demoted,0.2,0.1
Beef and Broccoli Union,Decline,400,30,2,Market,1,7,1.1,Bookrunner,Participant,Demoted,0.1571428571,0.075
Ipanema Investments,Commit,300,50,1,Market,2,70,10.1,Participant,Bookrunner,Promoted,0.1442857143,0.1666666667
Cold Cut Credit,Decline,1100,130,9,Market,0,103,14.2,Bookrunner,Participant,Demoted,0.1378640777,0.1181818182
Bank of Pepperoni Pizza,Commit,1300,190,9,Market,0,135,36.9,Bookrunner,Bookrunner,None,0.2733333333,0.1461538462
Damiba Investment Group,Commit,300,50,5,Market,1,33,6.5,Participant,Bookrunner,Promoted,0.196969697,0.1666666667
Damiba Investment Group,Commit,1000,190,7,Market,0,27,5.5,Bookrunner,Bookrunner,None,0.2037037037,0.19
Bank of Pepperoni Pizza,Commit,900,110,3,Market,3,139,37.7,Bookrunner,Participant,Demoted,0.2712230216,0.1222222222
Ipanema Investments,Commit,800,120,2,Market,2,109,28.2,Bookrunner,Bookrunner,None,0.2587155963,0.15
Ipanema Investments,Commit,1500,340,5,Market,1,204,82.6,Bookrunner,Bookrunner,None,0.4049019608,0.2266666667
Damiba Investment Group,Commit,800,130,2,Above,3,148,42.8,Bookrunner,Bookrunner,None,0.2891891892,0.1625
Cold Cut Credit,Commit,1400,270,2,Market,2,97,19.8,Bookrunner,Bookrunner,None,0.2041237113,0.1928571429
Beef and Broccoli Union,Decline,300,30,3,Above,2,31,0,Participant,Participant,None,0,0.1
Cold Cut Credit,Commit,1200,120,6,Above,1,133,14.9,Bookrunner,Participant,Demoted,0.1120300752,0.1
Beef and Broccoli Union,Decline,600,110,2,Market,2,32,4.3,Bookrunner,Bookrunner,None,0.134375,0.1833333333
Damiba Investment Group,Commit,800,170,4,Market,1,76,20,Bookrunner,Bookrunner,None,0.2631578947,0.2125
Cold Cut Credit,Commit,200,30,1,Market,3,39,6.4,Bookrunner,Bookrunner,None,0.1641025641,0.15
Beef and Broccoli Union,Decline,800,100,2,Market,2,66,7.2,Bookrunner,Participant,Demoted,0.1090909091,0.125
Damiba Investment Group,Decline,900,70,2,Market,3,137,16.4,Bookrunner,Participant,Demoted,0.1197080292,0.07777777778
Bank of Pepperoni Pizza,Commit,1100,300,10,Market,0,86,37,Participant,Bookrunner,Promoted,0.4302325581,0.2727272727
Ipanema Investments,Commit,1100,180,8,Market,0,29,2.2,Participant,Bookrunner,Promoted,0.07586206897,0.1636363636
Bank of Pepperoni Pizza,Commit,1200,200,1,Market,2,138,11.7,Participant,Bookrunner,Promoted,0.0847826087,0.1666666667
Ipanema Investments,Decline,900,100,3,Market,2,105,26.3,Bookrunner,Participant,Demoted,0.2504761905,0.1111111111
Beef and Broccoli Union,Commit,900,130,1,Market,2,124,34.5,Bookrunner,Bookrunner,None,0.2782258065,0.1444444444
Ipanema Investments,Commit,600,70,3,Market,2,76,9.2,Participant,Participant,None,0.1210526316,0.1166666667
Bank of Pepperoni Pizza,Commit,1300,220,7,Below,0,157,9.1,Bookrunner,Bookrunner,None,0.05796178344,0.1692307692
Beef and Broccoli Union,Commit,1700,230,2,Market,3,299,31.4,Bookrunner,Bookrunner,None,0.1050167224,0.1352941176
Bank of Pepperoni Pizza,Commit,1800,230,4,Above,1,226,41.1,Bookrunner,Bookrunner,None,0.1818584071,0.1277777778
Ipanema Investments,Commit,300,60,1,Market,2,26,0,Participant,Bookrunner,Promoted,0,0.2
Cold Cut Credit,Commit,1200,240,8,Market,0,139,26.4,Participant,Bookrunner,Promoted,0.1899280576,0.2
Beef and Broccoli Union,Commit,1200,220,8,Market,0,47,8,Bookrunner,Bookrunner,None,0.170212766,0.1833333333
Damiba Investment Group,Commit,1600,250,6,Market,1,134,40.6,Bookrunner,Bookrunner,None,0.3029850746,0.15625
Cold Cut Credit,Commit,1700,260,4,Market,1,113,25.4,Bookrunner,Bookrunner,None,0.2247787611,0.1529411765
Beef and Broccoli Union,Commit,1000,150,5,Market,0,31,7.6,Bookrunner,Bookrunner,None,0.2451612903,0.15
Beef and Broccoli Union,Commit,1100,210,4,Below,1,68,11.6,Bookrunner,Bookrunner,None,0.1705882353,0.1909090909
Cold Cut Credit,Commit,1000,120,8,Above,0,85,1.1,Bookrunner,Bookrunner,None,0.01294117647,0.12
Damiba Investment Group,Commit,1200,220,3,Market,2,156,11.7,Bookrunner,Bookrunner,None,0.075,0.1833333333
Cold Cut Credit,Commit,1200,210,10,Market,0,151,31,Bookrunner,Bookrunner,None,0.2052980132,0.175
Beef and Broccoli Union,Commit,1200,220,3,Market,2,117,29.5,Bookrunner,Bookrunner,None,0.2521367521,0.1833333333
Ipanema Investments,Commit,600,90,1,Below,2,54,10.5,Bookrunner,Bookrunner,None,0.1944444444,0.15
Bank of Pepperoni Pizza,Commit,1200,200,5,Above,1,70,6.8,Participant,Bookrunner,Promoted,0.09714285714,0.1666666667
Bank of Pepperoni Pizza,Commit,1600,230,9,Market,0,95,4.6,Bookrunner,Bookrunner,None,0.04842105263,0.14375
Beef and Broccoli Union,Commit,1500,180,6,Above,2,295,51.9,Participant,Participant,None,0.1759322034,0.12
Ipanema Investments,Decline,1000,110,6,Market,2,191,25,Bookrunner,Participant,Demoted,0.1308900524,0.11
Damiba Investment Group,Commit,2100,390,3,Market,2,220,1.5,Bookrunner,Bookrunner,None,0.006818181818,0.1857142857
Cold Cut Credit,Commit,1400,240,2,Market,2,270,18.4,Bookrunner,Bookrunner,None,0.06814814815,0.1714285714
Beef and Broccoli Union,Decline,200,20,2,Below,3,33,8.2,Bookrunner,Participant,Demoted,0.2484848485,0.1
Beef and Broccoli Union,Decline,400,40,1,Market,2,37,5,Bookrunner,Participant,Demoted,0.1351351351,0.1
Damiba Investment Group,Commit,600,80,2,Market,2,79,14.4,Bookrunner,Bookrunner,None,0.182278481,0.1333333333
Beef and Broccoli Union,Commit,1200,160,4,Market,1,76,10.6,Bookrunner,Bookrunner,None,0.1394736842,0.1333333333
Cold Cut Credit,Commit,1500,280,8,Market,0,177,43.2,Bookrunner,Bookrunner,None,0.2440677966,0.1866666667
Cold Cut Credit,Decline,800,30,1,Market,2,77,4.9,Bookrunner,Participant,Demoted,0.06363636364,0.0375
Damiba Investment Group,Decline,1100,60,9,Below,0,108,14.7,Bookrunner,Participant,Demoted,0.1361111111,0.05454545455
Cold Cut Credit,Decline,800,60,1,Market,2,46,5.3,Bookrunner,Participant,Demoted,0.1152173913,0.075
Ipanema Investments,Decline,1100,90,9,Market,0,148,17.5,Bookrunner,Participant,Demoted,0.1182432432,0.08181818182
Bank of Pepperoni Pizza,Commit,500,80,2,Market,2,64,7.7,Bookrunner,Bookrunner,None,0.1203125,0.16
Beef and Broccoli Union,Commit,1300,200,10,Above,0,131,31,Bookrunner,Bookrunner,None,0.2366412214,0.1538461538
Beef and Broccoli Union,Commit,1400,200,10,Market,0,89,23.8,Bookrunner,Bookrunner,None,0.2674157303,0.1428571429
Cold Cut Credit,Commit,1700,140,9,Market,0,185,27,Bookrunner,Participant,Demoted,0.1459459459,0.08235294118
Ipanema Investments,Decline,1300,70,3,Market,2,115,10.7,Bookrunner,Participant,Demoted,0.09304347826,0.05384615385
Damiba Investment Group,Commit,700,120,2,Market,2,59,17.6,Bookrunner,Bookrunner,None,0.2983050847,0.1714285714
Beef and Broccoli Union,Decline,900,80,3,Market,2,64,11.6,Bookrunner,Participant,Demoted,0.18125,0.08888888889
Cold Cut Credit,Commit,800,100,4,Below,1,106,17.6,Bookrunner,Bookrunner,None,0.1660377358,0.125
Beef and Broccoli Union,Commit,1100,190,9,Above,0,136,7.5,Bookrunner,Bookrunner,None,0.05514705882,0.1727272727
Ipanema Investments,Commit,300,30,2,Below,2,26,4.5,Participant,Participant,None,0.1730769231,0.1
Ipanema Investments,Decline,1200,110,2,Below,2,126,20.4,Bookrunner,Participant,Demoted,0.1619047619,0.09166666667
Damiba Investment Group,Commit,800,100,2,Market,2,110,27,Bookrunner,Bookrunner,None,0.2454545455,0.125
Ipanema Investments,Commit,1200,180,3,Market,2,208,43.3,Bookrunner,Bookrunner,None,0.2081730769,0.15
Ipanema Investments,Decline,700,70,3,Above,2,67,6.9,Bookrunner,Participant,Demoted,0.1029850746,0.1
Cold Cut Credit,Commit,200,30,3,Market,2,18,4.8,Bookrunner,Bookrunner,None,0.2666666667,0.15
Damiba Investment Group,Commit,400,50,4,Market,2,61,9.2,Bookrunner,Bookrunner,None,0.1508196721,0.125
Damiba Investment Group,Commit,600,110,3,Market,3,90,5,Bookrunner,Bookrunner,None,0.05555555556,0.1833333333
Ipanema Investments,Commit,1500,290,4,Market,2,229,72.6,Bookrunner,Bookrunner,None,0.3170305677,0.1933333333
Cold Cut Credit,Decline,600,110,4,Market,0,52,2,Bookrunner,Bookrunner,None,0.03846153846,0.1833333333
Bank of Pepperoni Pizza,Commit,1300,140,10,Market,1,210,53.6,Bookrunner,Participant,Demoted,0.2552380952,0.1076923077
Beef and Broccoli Union,Decline,200,20,2,Market,3,31,1.3,Bookrunner,Bookrunner,None,0.04193548387,0.1
Bank of Pepperoni Pizza,Commit,1500,290,9,Market,1,233,13.3,Bookrunner,Bookrunner,None,0.05708154506,0.1933333333
Damiba Investment Group,Commit,900,120,4,Market,1,214,53.5,Bookrunner,Bookrunner,None,0.25,0.1333333333
Bank of Pepperoni Pizza,Commit,900,90,3,Market,2,106,14.7,Bookrunner,Participant,Demoted,0.1386792453,0.1
Cold Cut Credit,Decline,300,30,1,Market,2,16,3.5,Bookrunner,Participant,Demoted,0.21875,0.1
Beef and Broccoli Union,Decline,500,60,2,Market,2,39,4.4,Bookrunner,Bookrunner,None,0.1128205128,0.12
Beef and Broccoli Union,Decline,1100,100,4,Below,1,123,12.5,Bookrunner,Participant,Demoted,0.1016260163,0.09090909091
Bank of Pepperoni Pizza,Commit,500,60,3,Market,2,44,0.5,Participant,Bookrunner,Promoted,0.01136363636,0.12
Cold Cut Credit,Commit,1100,140,4,Market,1,108,6.8,Participant,Bookrunner,Promoted,0.06296296296,0.1272727273
Ipanema Investments,Commit,1300,220,10,Market,0,112,10,Bookrunner,Bookrunner,None,0.08928571429,0.1692307692
Ipanema Investments,Commit,1700,260,8,Market,0,176,31.3,Participant,Bookrunner,Promoted,0.1778409091,0.1529411765
Damiba Investment Group,Commit,800,160,3,Market,2,62,13.8,Bookrunner,Bookrunner,None,0.2225806452,0.2
Beef and Broccoli Union,Commit,500,80,1,Market,3,78,24.7,Bookrunner,Bookrunner,None,0.3166666667,0.16
Damiba Investment Group,Commit,500,80,2,Below,2,28,3,Bookrunner,Bookrunner,None,0.1071428571,0.16
Cold Cut Credit,Commit,600,90,4,Market,1,31,8.3,Bookrunner,Bookrunner,None,0.2677419355,0.15
Damiba Investment Group,Decline,800,90,4,Above,2,143,33.9,Bookrunner,Participant,Demoted,0.2370629371,0.1125
Cold Cut Credit,Decline,700,150,2,Market,2,49,2.1,Bookrunner,Bookrunner,None,0.04285714286,0.2142857143
Cold Cut Credit,Decline,500,60,2,Market,2,49,9.6,Bookrunner,Participant,Demoted,0.1959183673,0.12
Ipanema Investments,Commit,1000,130,8,Market,0,76,16.6,Bookrunner,Bookrunner,None,0.2184210526,0.13
Bank of Pepperoni Pizza,Commit,1400,230,2,Market,3,213,5.8,Bookrunner,Bookrunner,None,0.02723004695,0.1642857143
